unit,x,y,food,frozen food,office supplies,furniture,daily necessities
A679,49,4,0,0,0,0,0
A680,50,4,0,0,0,0,0
A681,51,4,0,0,0,0,0
A682,52,4,0,0,0,0,0
A683,53,4,0,0,0,0,0
A684,54,4,0,0,0,0,0
A685,55,4,0,0,0,0,0
A686,56,4,0,0,0,0,0
A687,57,4,0,0,0,0,0
A688,58,4,0,0,0,0,0
A689,59,4,0,0,0,0,0
A690,60,4,0,0,0,0,0
A691,61,4,0,0,0,0,0
A692,62,4,0,0,0,0,0
A693,63,4,0,0,0,0,0
A694,64,4,0,0,0,0,0
A695,65,4,0,0,0,0,0
A696,66,4,0,0,0,0,0
A697,67,4,0,0,0,0,0
A698,68,4,0,0,0,0,0
A699,69,4,0,0,0,0,0
A700,70,4,0,0,0,0,0
A701,71,4,0,0,0,0,0
A702,72,4,0,0,0,0,0
A703,73,4,0,0,0,0,0
A704,74,4,0,0,0,0,0
A705,75,4,0,0,0,0,0
A706,76,4,0,0,0,0,0
A707,77,4,0,0,0,0,0
A708,78,4,0,0,0,0,0
A709,79,4,0,0,0,0,0
A710,80,4,0,0,0,0,0
A711,81,4,0,0,0,0,0
A712,82,4,0,0,0,0,0
A713,83,4,0,0,0,0,0
A714,84,4,0,0,0,0,0
A715,85,4,0,0,0,0,0
A716,86,4,0,0,0,0,0
A717,87,4,0,0,0,0,0
A718,88,4,0,0,0,0,0
A719,89,4,0,0,0,0,0
A720,90,4,0,0,0,0,0
A721,91,4,0,0,0,0,0
A722,92,4,0,0,0,0,0
A723,93,4,0,0,0,0,0
A724,94,4,0,0,0,0,0
A725,95,4,0,0,0,0,0
A726,96,4,0,0,0,0,0
A727,97,4,0,0,0,0,0
A728,98,4,0,0,0,0,0
A729,99,4,0,0,0,0,0
A730,100,4,0,0,0,0,0
A731,101,4,0,0,0,0,0
A732,102,4,0,0,0,0,0
A733,103,4,0,0,0,0,0
A734,104,4,0,0,0,0,0
A735,105,4,0,0,0,0,0
A736,106,4,0,0,0,0,0
A737,107,4,0,0,0,0,0
A738,108,4,0,0,0,0,0
A739,109,4,0,0,0,0,0
A740,110,4,0,0,0,0,0
A741,111,4,0,0,0,0,0
A742,112,4,0,0,0,0,0
A743,113,4,0,0,0,0,0
A744,114,4,0,0,0,0,0
A745,115,4,0,0,0,0,0
A746,116,4,0,0,0,0,0
A747,117,4,0,0,0,0,0
A748,118,4,0,0,0,0,0
A749,119,4,0,0,0,0,0
A750,120,4,0,0,0,0,0
A751,121,4,0,0,0,0,0
A752,122,4,0,0,0,0,0
A753,123,4,0,0,0,0,0
A754,124,4,0,0,0,0,0
A755,125,4,0,0,0,0,0
A756,126,4,0,0,0,0,0
A757,127,4,0,0,0,0,0
A758,128,4,0,0,0,0,0
A759,129,4,0,0,0,0,0
A760,130,4,0,0,0,0,0
A761,131,4,0,0,0,0,0
A762,132,4,0,0,0,0,0
A763,133,4,0,0,0,0,0
A764,134,4,0,0,0,0,0
A765,135,4,0,0,0,0,0
A766,136,4,0,0,0,0,0
A767,137,4,0,0,0,0,0
A768,138,4,0,0,0,0,0
A769,139,4,0,0,0,0,0
A770,140,4,0,0,0,0,0
A771,141,4,0,0,0,0,0
A772,142,4,0,0,0,0,0
A773,143,4,0,0,0,0,0
A774,144,4,0,0,0,0,0
A775,145,4,0,0,0,0,0
A776,146,4,0,0,0,0,0
A777,147,4,0,0,0,0,0
A778,148,4,0,0,0,0,0
A779,149,4,0,0,0,0,0
A780,150,4,0,0,0,0,0
A781,151,4,0,0,0,0,0
A782,152,4,0,0,0,0,0
A783,153,4,0,0,0,0,0
A784,154,4,0,0,0,0,0
A785,155,4,0,0,0,0,0
A786,156,4,0,0,0,0,0
A787,157,4,0,0,0,0,0
A788,158,4,0,0,0,0,0
A789,159,4,0,0,0,0,0
A790,160,4,0,0,0,0,0
A791,161,4,0,0,0,0,0
A792,162,4,0,0,0,0,0
A793,163,4,0,0,0,0,0
A794,164,4,0,0,0,0,0
A795,165,4,0,0,0,0,0
A796,166,4,0,0,0,0,0
A797,167,4,0,0,0,0,0
A798,168,4,0,0,0,0,0
A799,169,4,0,0,0,0,0
A800,170,4,0,0,0,0,0
A801,171,4,0,0,0,0,0
A802,172,4,0,0,0,0,0
A803,173,4,0,0,0,0,0
A804,174,4,0,0,0,0,0
A805,175,4,0,0,0,0,0
A806,176,4,0,0,0,0,0
A807,177,4,0,0,0,0,0
A808,178,4,0,0,0,0,0
A809,179,4,0,0,0,0,0
A810,180,4,0,0,0,0,0
A811,181,4,0,0,0,0,0
A812,182,4,0,0,0,0,0
A813,183,4,0,0,0,0,0
